torque_ts
Ek: 1e-06,
Rat: 20.0,
0.00013907070956132800,946510.696120771
0.0001401139261717180,944552.1577093710
0.00014100811183776700,942947.8586246870
0.00014205132844815800,941194.943110528
0.00014309454505854800,939604.4484232670
0.0001441377616689380,938211.8315015390
0.00014503194733498700,937200.5866821140
0.00014607516394537700,936259.1879987280
0.00014711838055576800,935597.943462209
0.00014801256622181700,935269.4896878180
0.00014905578283220700,935177.490968712
0.00015009899944259700,935407.3833146300
0.00015114221605298800,935961.5735689980
0.00015203640171903700,936691.7805457870
0.0001530796183294270,937832.4241752020
0.00015412283493981700,939268.4310489870
0.0001550170206058660,940717.505774292
0.00015606023721625600,942637.6365135270
0.0001571034538266470,944772.644234174
0.00015814667043703700,947083.5872822870
0.000159040856103086,949171.3834388170
0.00016008407271347600,951689.5736345500
0.0001611272893238670,954247.4454503720
0.00016202147498991600,956430.5035401530
0.00016306469160030600,958917.0324546950
0.00016410790821069600,961284.3176666210
0.00016500209387674500,963175.1646050470
0.0001660453104871360,965171.0679081590
0.00016711833328639400,966931.988023604
0.00016801251895244300,968134.1567723750
0.00016908554175170200,969214.4108896880
0.0001701585645509610,969856.5917381840
0.00017105275021701000,970028.0679187660
0.00017212577301626900,969767.5670616490
0.00017301995868231800,969142.9168785400
0.0001740929814815760,967885.8629052060
0.00017516600428083500,966061.7975286530
0.00017606018994688400,964103.4303938840
0.0001771332127461430,961227.5977235790
0.0001780273984121920,958397.7170804330
0.00017910042121145100,954493.6592655820
0.00018017344401070900,950054.2026254660
0.0001810676296767580,945964.4383666600
0.0001821406524760170,940616.2177197710
0.00018303483814206600,935817.8483033660
0.0001841078609413250,929687.240824911
0.00018500204660737400,924300.7766256890
0.00018607506940663300,917550.1829212090
0.00018714809220589100,910541.5748559130
0.00018808460360552100,904262.557029264
0.00018908460360552100,897440.5829278980
0.00019008460360552100,890551.1113037860
0.00019108460360552100,883648.362121372
0.00019208460360552100,876786.6045729430
0.00019308460360552100,870018.6477167170
0.000194084603605521,863394.5419582070
0.00019508460360552100,856961.0519128670
0.00019608460360552100,850761.3904293490
0.00019708460360552100,844834.6668265430
0.00019808460360552100,839215.494243899
0.00019908460360552100,833933.9991474870
0.00020008460360552100,829015.8480925370
0.0002010846036055210,824482.1420649990
0.0002020846036055210,820349.386626001
0.0002030846036055210,816629.5726055300
0.00020408460360552100,813330.1736130320
0.00020508460360552100,810453.9176175010
0.0002060846036055210,807998.3953065970
0.0002070846036055210,805955.7374687440
0.00020808460360552100,804312.4826110930
